location_id	address_1	address_2	city	state	zip	county	location_source_value	country_concept_id	country_source_value	latitude	longitude
136							S01013617			57.135029004114166	-2.0697754739846945
137							S01013618			57.14657045732794	-2.086636177582304
138							S01013619			57.15238940549843	-2.0893932856661075
139							S01013620			57.15095010752746	-2.092183039241803
140							S01013621			57.15184391979542	-2.0859045531211953
141							S01013622			57.15437504545508	-2.088786432858677
142							S01013623			57.15391175899486	-2.0957440774378866
143							S01013624			57.15519901390018	-2.092160434621045
144							S01013625			57.15694118117503	-2.092842470052877
145							S01013626			57.1535136098913	-2.1031249625928337
146							S01013627			57.15087999854385	-2.101438364857811
147							S01013628			57.15208615631014	-2.0984004561340925
148							S01013629			57.150985447219185	-2.1043640607285963
149							S01013630			57.15511384474708	-2.1088881591704918
150							S01013631			57.157223103905864	-2.1109110158820865
151							S01013632			57.15683058386394	-2.107702983072699
152							S01013633			57.155198808939886	-2.1039130128034036
153							S01013634			57.15916575926746	-2.1183558816542543
154							S01013635			57.158855994441474	-2.122967117431235
155							S01013636			57.15630637277159	-2.121355294714121
156							S01013637			57.151554297351026	-2.111571850895703
157							S01013638			57.16090181799074	-2.1157989583361805
158							S01013639			57.15877403476538	-2.103906443956496
159							S01013640			57.157329475938326	-2.1017699848957934
160							S01013641			57.15974012732577	-2.108835545822908
161							S01013642			57.16393235192414	-2.112154535548609
162							S01013643			57.161745104637255	-2.10675833548858
163							S01013644			57.164041232613876	-2.1109148510318003
164							S01013645			57.161220955618084	-2.099532216830417
165							S01013646			57.159970339405206	-2.1019755856900604
166							S01013647			57.15844665572173	-2.097640244618898
167							S01013648			57.16736437528351	-2.0889660744153824
168							S01013649			57.16487155927444	-2.091269043692058
169							S01013650			57.161486015985155	-2.0936307947353363
170							S01013651			57.165878453591326	-2.094038647438332
171							S01013652			57.15994298158841	-2.0908330385586176
172							S01013653			57.173315673266366	-2.095248193170596
173							S01013654			57.16778244527207	-2.094638736160853
174							S01013655			57.168996233935204	-2.093236265076868
175							S01013656			57.17127746066953	-2.093936543094626
176							S01013657			57.16974964870532	-2.11632276170941
177							S01013658			57.171002020120966	-2.1122090567192506
178							S01013659			57.16833446601678	-2.111704883004546
179							S01013660			57.17205537602741	-2.1194721178143014
180							S01013661			57.17445065493412	-2.113211846791914
181							S01013662			57.17254376449979	-2.1253610039803905
182							S01013663			57.17410284157097	-2.1201899034989213
183							S01013664			57.17613545042162	-2.143747942640401
184							S01013665			57.16820754355124	-2.1227005625953073
185							S01013666			57.167152880369144	-2.117025565179373
186							S01013667			57.170998047649064	-2.1260006654795274
187							S01013668			57.172271724913784	-2.1365392272729253
188							S01013669			57.169789145725275	-2.139572614938263
189							S01013670			57.16906524128928	-2.1361304673958514
190							S01013671			57.16412684369171	-2.134029046873348
191							S01013672			57.164279214471506	-2.1255312999432934
192							S01013673			57.16663102117596	-2.127275412377378
193							S01013674			57.16188704672359	-2.118959754604454
194							S01013675			57.16485972722564	-2.119696797866914
195							S01013676			57.16877587492761	-2.1293497913396804
196							S01013677			57.15659277700334	-2.1479038332626943
197							S01013678			57.16098856895412	-2.1370761623833445
198							S01013679			57.161578136277036	-2.140120297563838
199							S01013680			57.15869400624348	-2.1406714942035077
200							S01013681			57.158160974646776	-2.1433970876921236
201							S01013682			57.16044392934416	-2.133949617254833
202							S01013683			57.15985518825341	-2.1299468169350124
203							S01013684			57.15293917133519	-2.1674427485031584
204							S01013685			57.15872447826973	-2.160393339474592
205							S01013686			57.154149833327004	-2.162158842171546
206							S01013687			57.15576171062448	-2.166050367326786
207							S01013688			57.1576497771271	-2.1578099274989775
208							S01013689			57.155053894255886	-2.157633663771414
209							S01013690			57.15393803770595	-2.151926422817641
210							S01013691			57.1535313751545	-2.1745363314136545
211							S01013692			57.15160462037647	-2.1776511241599783
212							S01013693			57.15419496799365	-2.181680087132851
213							S01013694			57.1557538701844	-2.17831557314118
214							S01013695			57.15669660381575	-2.1722368887937704
215							S01013696			57.158953524600655	-2.1638989642820543
216							S01013697			57.16055282910131	-2.1491428868340097
217							S01013698			57.16543769337903	-2.150733136308314
218							S01013699			57.16411267541528	-2.146908560995652
219							S01013700			57.16037371916402	-2.1561351801427944
220							S01013701			57.164018812394744	-2.142543370391553
221							S01013702			57.16311213901975	-2.171059615472367
222							S01013703			57.1673553006796	-2.1687310950696697
223							S01013704			57.16525473791396	-2.1676303026766477
224							S01013705			57.162346691344496	-2.1587721533368858
225							S01013706			57.16362899953959	-2.1605632182994916
226							S01013707			57.16830176348662	-2.159293631242912
227							S01013708			57.16692939831959	-2.164727700117395
228							S01013709			57.16873627935766	-2.1491591747065626
229							S01013710			57.17034156279469	-2.151414592596111
230							S01013711			57.17118385574082	-2.160430552190078
231							S01013712			57.16716367477391	-2.1417948447650432
232							S01013713			57.17027998528437	-2.164775680908793
233							S01013714			57.170435578919424	-2.169390050930318
234							S01013715			57.16000924301743	-2.2195346657711434
235							S01013716			57.15349161372214	-2.222322543745498
236							S01013717			57.160237608046174	-2.21212941049858
237							S01013718			57.15008492985318	-2.2184179727981346
238							S01013719			57.166111723016506	-2.217818167590471
239							S01013720			57.18454288423925	-2.20300388927804
240							S01013721			57.16012930135951	-2.251244712389706
241							S01013722			57.15929691967464	-2.2260771809659095
242							S01013723			57.150326627797476	-2.185512140734848
243							S01013724			57.184251735959144	-2.1756238799147
244							S01013725			57.17784791530687	-2.168332406787808
245							S01013726			57.17812426863942	-2.163074075709211
246							S01013727			57.176842137542685	-2.161182917515158
247							S01013728			57.17539508550784	-2.181601943617827
248							S01013729			57.17331669936649	-2.1898939827032136
249							S01013730			57.17225552762819	-2.1906658329359248
250							S01013731			57.187973000818396	-2.180323581571597
251							S01013732			57.18346201026234	-2.181442927261651
252							S01013733			57.179982400358774	-2.1836589015299155
253							S01013734			57.176711275074176	-2.1905563803681454
254							S01013735			57.179568831013526	-2.1899258974305713
255							S01013736			57.18163200895252	-2.1918387502041523
256							S01013737			57.198279561140566	-2.182065374393286
257							S01013738			57.19935493586698	-2.1798332394163342
258							S01013739			57.20798066903958	-2.1783191702560782
259							S01013740			57.210968752969485	-2.180584972698116
260							S01013741			57.20961342292996	-2.186008068021169
261							S01013742			57.209257291295636	-2.183837734942114
262							S01013743			57.20534423111863	-2.1875755789765794
263							S01013744			57.202295911741444	-2.183587987816643
264							S01013745			57.21258945123101	-2.1902280506054095
265							S01013746			57.17610268755716	-2.123702683267872
266							S01013747			57.18232153338327	-2.1385450516141105
267							S01013748			57.18061871770547	-2.134883073218908
268							S01013749			57.17811853589416	-2.1290518401632905
269							S01013750			57.183855621190936	-2.1320330613712675
270							S01013751			57.183625509904175	-2.145249622524554
271							S01013752			57.19212770948102	-2.177034763166234
272							S01013753			57.19200548122272	-2.129795332897094
273							S01013754			57.200043160146	-2.1228726165093175
274							S01013755			57.194414154512216	-2.128579270991506
275							S01013756			57.195920847445755	-2.1309508469128775
276							S01013757			57.20036942888338	-2.1289805805575543
277							S01013758			57.18896534689804	-2.1247550244818973
278							S01013759			57.18561243774089	-2.12702668767036
279							S01013760			57.18809240658008	-2.1170423474196878
280							S01013761			57.18967623364052	-2.11395341765139
281							S01013762			57.193628914537015	-2.1137505096330087
282							S01013763			57.18975130146101	-2.110346786370402
